booth_id,x,y,created_at,updated_at
B2405,0.448905,0.258979,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
B2408,0.406029,0.258979,2025-10-25 01:15:45.214876+00,2025-10-25 01:15:45.214876+00
B2409,0.406038,0.245938,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
B2410,0.420349,0.245938,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
B2411,0.434665,0.245938,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
B2501,0.406033,0.219857,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
B2502,0.427486,0.219857,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
B2504,0.448905,0.219857,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
B3101,0.513683,0.394604,2025-10-25 01:15:45.214876+00,2025-10-25 01:15:45.214876+00
B3201,0.492264,0.355475,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
B3202,0.520752,0.355475,2025-10-25 01:15:45.214876+00,2025-10-25 01:15:45.214876+00
B3301,0.513683,0.316408,2025-10-25 01:15:45.149183+00,2025-10-25 01:15:45.149183+00
B3401,0.477948,0.272027,2025-10-25 01:15:45.214876+00,2025-10-25 01:15:45.214876+00
B3402,0.492264,0.272027,2025-10-25 01:15:45.149183+00,2025-10-25 01:15:45.149183+00
B3404,0.527889,0.272027,2025-10-25 01:15:45.214876+00,2025-10-25 01:15:45.214876+00
B3409,0.492264,0.258979,2025-10-25 01:15:45.149183+00,2025-10-25 01:15:45.149183+00
B3410,0.477948,0.258979,2025-10-25 01:15:45.214876+00,2025-10-25 01:15:45.214876+00
B3411,0.477948,0.245938,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
B3412,0.492264,0.245938,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
B3501,0.477948,0.219857,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
B3502,0.492264,0.219857,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
B3504,0.527889,0.219857,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
B3601,0.477906,0.171536,2025-10-25 01:15:45.149183+00,2025-10-25 01:15:45.149183+00
B3602,0.492222,0.171536,2025-10-25 01:15:45.440311+00,2025-10-25 01:15:45.440311+00
B3604,0.527847,0.171536,2025-10-25 01:15:45.440311+00,2025-10-25 01:15:45.440311+00
B3606,0.535001,0.158504,2025-10-25 01:15:45.440311+00,2025-10-25 01:15:45.440311+00
B3607,0.52071,0.158504,2025-10-25 01:15:45.440311+00,2025-10-25 01:15:45.440311+00
B3610,0.477906,0.158504,2025-10-25 01:15:45.149183+00,2025-10-25 01:15:45.149183+00
B3611,0.477906,0.145478,2025-10-25 01:15:45.440311+00,2025-10-25 01:15:45.440311+00
B3612,0.492222,0.145478,2025-10-25 01:15:45.440311+00,2025-10-25 01:15:45.440311+00
B3701,0.477906,0.119413,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
B3702,0.492222,0.119413,2025-10-25 01:15:45.440311+00,2025-10-25 01:15:45.440311+00
B3706,0.535009,0.10638,2025-10-25 01:15:45.440311+00,2025-10-25 01:15:45.440311+00
B3707,0.520719,0.10638,2025-10-25 01:15:45.440311+00,2025-10-25 01:15:45.440311+00
B3709,0.49223,0.10638,2025-10-25 01:15:45.440311+00,2025-10-25 01:15:45.440311+00
B3710,0.477914,0.10638,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
B4101,0.60414,0.394604,2025-10-25 01:15:45.214876+00,2025-10-25 01:15:45.214876+00
B4201,0.582717,0.355475,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
B4204,0.618477,0.355475,2025-10-25 01:15:45.149183+00,2025-10-25 01:15:45.149183+00
B4205,0.632767,0.355475,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
B4206,0.632767,0.342435,2025-10-25 01:15:45.214876+00,2025-10-25 01:15:45.214876+00
B4301,0.57558,0.316408,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
B4302,0.596999,0.316408,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
B4304,0.618477,0.316408,2025-10-25 01:15:45.149183+00,2025-10-25 01:15:45.149183+00
B4305,0.632767,0.316408,2025-10-25 01:15:45.214876+00,2025-10-25 01:15:45.214876+00
B4306,0.632767,0.303367,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
B4307,0.618477,0.303367,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
B4401,0.575555,0.272027,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
B4402,0.589812,0.272027,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
B4403,0.589816,0.258979,2025-10-25 01:15:45.515797+00,2025-10-25 01:15:45.515797+00
B4404,0.618477,0.272027,2025-10-25 01:15:45.149183+00,2025-10-25 01:15:45.149183+00
B4405,0.632767,0.272027,2025-10-25 01:15:45.214876+00,2025-10-25 01:15:45.214876+00
B4406,0.632767,0.258979,2025-10-25 01:15:45.214876+00,2025-10-25 01:15:45.214876+00
B4407,0.618477,0.258979,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
B4411,0.582692,0.245938,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
B4414,0.618477,0.245938,2025-10-25 01:15:45.149183+00,2025-10-25 01:15:45.149183+00
B4415,0.632767,0.245938,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
B4501,0.582717,0.219857,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
B4504,0.625614,0.219857,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
B4506,0.632767,0.206817,2025-10-25 01:15:45.440311+00,2025-10-25 01:15:45.440311+00
B4507,0.618477,0.206817,2025-10-25 01:15:45.440311+00,2025-10-25 01:15:45.440311+00
B4510,0.582717,0.206817,2025-10-25 01:15:45.440311+00,2025-10-25 01:15:45.440311+00
B4601,0.582717,0.171536,2025-10-25 01:15:45.440311+00,2025-10-25 01:15:45.440311+00
B4604,0.618477,0.171536,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
B4605,0.632767,0.171536,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
B4606,0.632767,0.158504,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
B4607,0.618477,0.158504,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
B4609,0.58982,0.158504,2025-10-25 01:15:45.440311+00,2025-10-25 01:15:45.440311+00
B4610,0.57558,0.158504,2025-10-25 01:15:45.440311+00,2025-10-25 01:15:45.440311+00
B4611,0.57558,0.145478,2025-10-25 01:15:45.440311+00,2025-10-25 01:15:45.440311+00
B4612,0.58982,0.145478,2025-10-25 01:15:45.440311+00,2025-10-25 01:15:45.440311+00
B4701,0.57563,0.119413,2025-10-25 01:15:45.440311+00,2025-10-25 01:15:45.440311+00
B4702,0.589871,0.119413,2025-10-25 01:15:45.440311+00,2025-10-25 01:15:45.440311+00
B4703,0.604165,0.119413,2025-10-25 01:15:45.515797+00,2025-10-25 01:15:45.515797+00
B4704,0.625622,0.119413,2025-10-25 01:15:45.440311+00,2025-10-25 01:15:45.440311+00
B4706,0.632767,0.10638,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
B4707,0.618477,0.10638,2025-10-25 01:15:45.440311+00,2025-10-25 01:15:45.440311+00
B4708,0.604178,0.10638,2025-10-25 01:15:45.515797+00,2025-10-25 01:15:45.515797+00
B4709,0.589887,0.10638,2025-10-25 01:15:45.440311+00,2025-10-25 01:15:45.440311+00
B4710,0.575647,0.10638,2025-10-25 01:15:45.440311+00,2025-10-25 01:15:45.440311+00
B5001,0.682851,0.444635,2025-10-25 01:15:45.440311+00,2025-10-25 01:15:45.440311+00
B5101,0.661332,0.394604,2025-10-25 01:15:45.214876+00,2025-10-25 01:15:45.214876+00
B5102,0.675681,0.394604,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
